Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Petr Mrazek,,,,,,,,,,,,,,,,,,,,,8.55x1,,,30.5x1,,,3.5x1
Spencer Martin,,,,,,,,,,,,,,,,,,,,,12.55x1,,,24.5x1,2.5sx1.25,2.5x0.8,
Andrei Svechnikov,0.5x0.8,0.5sx1.25,,2.5x0.9,2.5sx1.1,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,8.05x1,,,,0.5sx1.5,0.5x0.7,
Connor Bedard,,,0.5x1,,,2.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Seth Jones,0.5sx1.1,0.5x0.85,,,,2.0x1,,,2.0x1,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,6.05x1,,,,0.5sx4,,
Sebastian Aho,1.5sx1.5,1.5x0.7,,2.5x0.9,2.5x1,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.05x1,,,,0.5sx1.25,0.5x0.75,
Brent Burns,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.25,,,,,7.05x1,,,,0.5sx2.75,,
Martin Necas,0.5x0.85,0.5sx1.1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Seth Jarvis,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Teuvo Teravainen,0.5x1,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,,,,,,,,,,0.5sx2,0.5x0.65,
Anthony Beauvillier,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Brady Skjei,0.5sx1.1,0.5x0.9,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx5,,,,,,,,,0.5sx4,,
Michael Bunting,,,0.5x1,2.5sx1.25,2.5x0.8,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx1.75,0.5x0.65,
Nick Foligno,0.5sx1.1,0.5x0.85,,,,1.5x1,,,,,,,0.5sx1.75,0.5x0.65,,0.5sx4,,,,,,,,,0.5sx2.25,,
Tyler Johnson,0.5sx1.25,0.5x0.8,,,,1.5x1,,,,,,,0.5sx2,,,0.5sx3.75,,,,,,,,,0.5sx2.25,,
Jason Dickinson,0.5sx1.25,0.5x0.75,,,,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx3,,
Philipp Kurashev,0.5sx1.1,0.5x0.85,,,,1.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2.25,,
Jesper Fast,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Stefan Noesen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Jordan Martinook,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Jack Drury,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Jordan Staal,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Taylor Raddysh,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Ryan Donato,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.75,,
Jesperi Kotkaniemi,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Colin Blackwell,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Boris Katchouk,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Jaccob Slavin,,,,1.5x0.85,1.5sx1.1,,1.5x1,1.5x0.9,,,,,,,,,,,,,,,,,0.5sx5.25,,
MacKenzie Entwistle,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Joey Anderson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4,,
