Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Brett Pesce,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,1.5x0.85,1.5sx1.2,,,,,,,,,,,,,,,,,,,
Anton Forsberg,,,,,,,,,,,,,,,,,,,,,9.55x1,,,27.5x1,3.5sx1.1,3.5x0.9,
Andrei Vasilevskiy,,,,,,,,,,,,,,,,,,,,,12.55x1,,,27.5x1,,,3.0x1
Nikita Kucherov,,,1.5x1,,,4.0x1,,,,,,,0.5x0.75,0.5sx1.25,,0.5x1,,,,,10.55x1,,,,0.5sx1.1,0.5x0.9,
Brady Tkachuk,0.5x0.85,0.5sx1.1,,4.5sx1.25,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2,0.5x0.65,,,,10.05x1,,,,0.5sx1.25,0.5x0.8,
Tim Stutzle,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2.25,,,,,7.05x1,,,,0.5sx1.75,0.5x0.65,
Steven Stamkos,0.5x0.7,0.5sx1.5,,2.5x0.9,2.5x1,,,,,,,,,,0.5x1,0.5sx1.25,0.5x0.75,,,,7.55x1,,,,0.5sx1.5,0.5x0.7,
Brayden Point,0.5x0.7,0.5sx1.5,,2.5x0.95,2.5x1,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,7.55x1,,,,0.5sx1.25,0.5x0.75,
Thomas Chabot,,,0.5x1,2.5sx1.1,2.5x0.9,,1.5x0.85,1.5sx1.1,,,,,0.5sx1.2,0.5x0.8,,0.5sx2.25,,,,,7.55x1,,,,0.5sx3.75,,
Victor Hedman,0.5x0.75,0.5sx1.25,,2.5sx1.1,2.5x0.85,,,,,,,,0.5x0.85,0.5sx1.1,,0.5sx1.25,0.5x0.75,,,,7.55x1,,,,0.5sx2.75,,
Drake Batherson,,,0.5x1,1.5x0.8,1.5sx1.2,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.75,,,,,,,,,0.5sx1.75,0.5x0.65,
Vladimir Tarasenko,0.5x1,0.5x0.9,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3.5,,,,,,,,,0.5sx2,0.5x0.65,
Brandon Hagel,,,,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx3.5,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Claude Giroux,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.2,0.5x0.8,,0.5sx2,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Jakob Chychrun,0.5sx1.1,0.5x0.85,,2.5x1,2.5x0.9,,,,1.5x1,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,6.55x1,,,,0.5sx3.25,,
Shane Pinto,0.5sx1.1,0.5x0.85,,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3,,,,,,,,,0.5sx2,0.5x0.65,
Josh Norris,0.5x1,,,,,2.0x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Anthony Cirelli,0.5x0.9,0.5x1,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx3,,,,,,,,,0.5sx2,0.5x0.65,
Nicholas Paul,0.5sx1.2,0.5x0.85,,1.5x0.9,1.5x1,,,,,,,,0.5sx2,0.5x0.65,,0.5sx3.75,,,,,,,,,0.5sx2,,
Luke Glendening,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.5,,
Alex Barre-Boulet,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Michael Eyssimont,,,,,,2.0x1,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Ridly Greig,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.75,,
Mathieu Joseph,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Dominik Kubalik,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Mitchell Chaffee,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Conor Sheary,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Tyler Motte,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Parker Kelly,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Jake Sanderson,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Erik Cernak,,,,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,
Nick Perbix,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,,,
